device,sensor_pos,timestamp,time,motiondetection,presencedetection,daylightdetection,daylightcompensation,human_obs_daylight,infrared_daylight,total_lux,diff_from_ideal,nearby_light_1_name,nearby_light_1_pos,nearby_light_1_lux,nearby_light_1_lumen,nearby_light_1_intensity(%),nearby_light_2_name,nearby_light_2_pos,nearby_light_2_lux,nearby_light_2_lumen,nearby_light_2_intensity(%),nearby_light_3_name,nearby_light_3_pos,nearby_light_3_lux,nearby_light_3_lumen,nearby_light_3_intensity(%),nearby_light_4_name,nearby_light_4_pos,nearby_light_4_lux,nearby_light_4_lumen,nearby_light_4_intensity(%)
Sensor_246,"{10, 7}",2,00:02,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 6)","(9, 6)",0,0,0.0,"Lamp(11, 6)","(11, 6)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0
Sensor_247,"{8, 9}",2,00:02,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 8)","(7, 8)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0
Sensor_248,"{9, 10}",2,00:02,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0
Sensor_249,"{9, 12}",2,00:02,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0
Sensor_250,"{9, 14}",2,00:02,False,False,0,0,0.0,0.0,0,500,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(15, 10)","(15, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0,"Lamp(15, 8)","(15, 8)",0,0,0.0
Sensor_251,"{8, 11}",2,00:02,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(7, 12)","(7, 12)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0
Sensor_252,"{10, 11}",2,00:02,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0
Sensor_253,"{11, 12}",2,00:02,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0,"Lamp(13, 12)","(13, 12)",0,0,0.0
Sensor_254,"{11, 14}",2,00:02,False,False,0,0,0.0,0.0,0,500,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(13, 12)","(13, 12)",0,0,0.0,"Lamp(15, 10)","(15, 10)",0,0,0.0,"Lamp(15, 12)","(15, 12)",0,0,0.0
Sensor_245,"{8, 7}",3,00:03,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 6)","(7, 6)",0,0,0.0,"Lamp(9, 6)","(9, 6)",0,0,0.0,"Lamp(7, 8)","(7, 8)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0
Sensor_246,"{10, 7}",3,00:03,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 6)","(9, 6)",0,0,0.0,"Lamp(11, 6)","(11, 6)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0
Sensor_247,"{8, 9}",3,00:03,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 8)","(7, 8)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0
Sensor_248,"{9, 10}",3,00:03,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0
Sensor_249,"{9, 12}",3,00:03,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0
Sensor_250,"{9, 14}",3,00:03,False,False,0,0,0.0,0.0,0,500,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(15, 10)","(15, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0,"Lamp(15, 8)","(15, 8)",0,0,0.0
Sensor_251,"{8, 11}",3,00:03,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(7, 12)","(7, 12)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0
Sensor_252,"{10, 11}",3,00:03,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0
Sensor_253,"{11, 12}",3,00:03,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0,"Lamp(13, 12)","(13, 12)",0,0,0.0
Sensor_254,"{11, 14}",3,00:03,False,False,0,0,0.0,0.0,0,500,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(13, 12)","(13, 12)",0,0,0.0,"Lamp(15, 10)","(15, 10)",0,0,0.0,"Lamp(15, 12)","(15, 12)",0,0,0.0
Sensor_245,"{8, 7}",4,00:04,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 6)","(7, 6)",0,0,0.0,"Lamp(9, 6)","(9, 6)",0,0,0.0,"Lamp(7, 8)","(7, 8)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0
Sensor_246,"{10, 7}",4,00:04,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 6)","(9, 6)",0,0,0.0,"Lamp(11, 6)","(11, 6)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0
Sensor_247,"{8, 9}",4,00:04,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 8)","(7, 8)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0
Sensor_248,"{9, 10}",4,00:04,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0
Sensor_249,"{9, 12}",4,00:04,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0
Sensor_250,"{9, 14}",4,00:04,False,False,0,0,0.0,0.0,0,500,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(15, 10)","(15, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0,"Lamp(15, 8)","(15, 8)",0,0,0.0
Sensor_251,"{8, 11}",4,00:04,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(7, 12)","(7, 12)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0
Sensor_252,"{10, 11}",4,00:04,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0
Sensor_253,"{11, 12}",4,00:04,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0,"Lamp(13, 12)","(13, 12)",0,0,0.0
Sensor_254,"{11, 14}",4,00:04,False,False,0,0,0.0,0.0,0,500,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(13, 12)","(13, 12)",0,0,0.0,"Lamp(15, 10)","(15, 10)",0,0,0.0,"Lamp(15, 12)","(15, 12)",0,0,0.0
Sensor_245,"{8, 7}",5,00:05,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 6)","(7, 6)",0,0,0.0,"Lamp(9, 6)","(9, 6)",0,0,0.0,"Lamp(7, 8)","(7, 8)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0
Sensor_246,"{10, 7}",5,00:05,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 6)","(9, 6)",0,0,0.0,"Lamp(11, 6)","(11, 6)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0
Sensor_247,"{8, 9}",5,00:05,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 8)","(7, 8)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0
Sensor_248,"{9, 10}",5,00:05,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0
Sensor_249,"{9, 12}",5,00:05,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0
Sensor_250,"{9, 14}",5,00:05,False,False,0,0,0.0,0.0,0,500,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(15, 10)","(15, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0,"Lamp(15, 8)","(15, 8)",0,0,0.0
Sensor_251,"{8, 11}",5,00:05,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(7, 12)","(7, 12)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0
Sensor_252,"{10, 11}",5,00:05,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0
Sensor_253,"{11, 12}",5,00:05,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0,"Lamp(13, 12)","(13, 12)",0,0,0.0
Sensor_254,"{11, 14}",5,00:05,False,False,0,0,0.0,0.0,0,500,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(13, 12)","(13, 12)",0,0,0.0,"Lamp(15, 10)","(15, 10)",0,0,0.0,"Lamp(15, 12)","(15, 12)",0,0,0.0
Sensor_245,"{8, 7}",6,00:06,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 6)","(7, 6)",0,0,0.0,"Lamp(9, 6)","(9, 6)",0,0,0.0,"Lamp(7, 8)","(7, 8)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0
Sensor_246,"{10, 7}",6,00:06,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 6)","(9, 6)",0,0,0.0,"Lamp(11, 6)","(11, 6)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0
Sensor_247,"{8, 9}",6,00:06,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 8)","(7, 8)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0
Sensor_248,"{9, 10}",6,00:06,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0
Sensor_249,"{9, 12}",6,00:06,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0
Sensor_250,"{9, 14}",6,00:06,False,False,0,0,0.0,0.0,0,500,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(15, 10)","(15, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0,"Lamp(15, 8)","(15, 8)",0,0,0.0
Sensor_251,"{8, 11}",6,00:06,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(7, 12)","(7, 12)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0
Sensor_252,"{10, 11}",6,00:06,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0
Sensor_253,"{11, 12}",6,00:06,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0,"Lamp(13, 12)","(13, 12)",0,0,0.0
Sensor_254,"{11, 14}",6,00:06,False,False,0,0,0.0,0.0,0,500,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(13, 12)","(13, 12)",0,0,0.0,"Lamp(15, 10)","(15, 10)",0,0,0.0,"Lamp(15, 12)","(15, 12)",0,0,0.0
Sensor_245,"{8, 7}",7,00:07,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 6)","(7, 6)",0,0,0.0,"Lamp(9, 6)","(9, 6)",0,0,0.0,"Lamp(7, 8)","(7, 8)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0
Sensor_246,"{10, 7}",7,00:07,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 6)","(9, 6)",0,0,0.0,"Lamp(11, 6)","(11, 6)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0
Sensor_247,"{8, 9}",7,00:07,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 8)","(7, 8)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0
Sensor_248,"{9, 10}",7,00:07,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0
Sensor_249,"{9, 12}",7,00:07,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0
Sensor_250,"{9, 14}",7,00:07,False,False,0,0,0.0,0.0,0,500,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(15, 10)","(15, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0,"Lamp(15, 8)","(15, 8)",0,0,0.0
Sensor_251,"{8, 11}",7,00:07,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(7, 12)","(7, 12)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0
Sensor_252,"{10, 11}",7,00:07,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0
Sensor_253,"{11, 12}",7,00:07,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0,"Lamp(13, 12)","(13, 12)",0,0,0.0
Sensor_254,"{11, 14}",7,00:07,False,False,0,0,0.0,0.0,0,500,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(13, 12)","(13, 12)",0,0,0.0,"Lamp(15, 10)","(15, 10)",0,0,0.0,"Lamp(15, 12)","(15, 12)",0,0,0.0
Sensor_245,"{8, 7}",8,00:08,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 6)","(7, 6)",0,0,0.0,"Lamp(9, 6)","(9, 6)",0,0,0.0,"Lamp(7, 8)","(7, 8)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0
Sensor_246,"{10, 7}",8,00:08,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 6)","(9, 6)",0,0,0.0,"Lamp(11, 6)","(11, 6)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0
Sensor_247,"{8, 9}",8,00:08,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 8)","(7, 8)",0,0,0.0,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0
Sensor_248,"{9, 10}",8,00:08,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 8)","(9, 8)",0,0,0.0,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0
Sensor_249,"{9, 12}",8,00:08,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 8)","(11, 8)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0
Sensor_250,"{9, 14}",8,00:08,False,False,0,0,0.0,0.0,0,500,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(15, 10)","(15, 10)",0,0,0.0,"Lamp(13, 8)","(13, 8)",0,0,0.0,"Lamp(15, 8)","(15, 8)",0,0,0.0
Sensor_251,"{8, 11}",8,00:08,False,False,0,0,0.0,0.0,0,500,"Lamp(7, 10)","(7, 10)",0,0,0.0,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(7, 12)","(7, 12)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0
Sensor_252,"{10, 11}",8,00:08,False,False,0,0,0.0,0.0,0,500,"Lamp(9, 10)","(9, 10)",0,0,0.0,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(9, 12)","(9, 12)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0
Sensor_253,"{11, 12}",8,00:08,False,False,0,0,0.0,0.0,0,500,"Lamp(11, 10)","(11, 10)",0,0,0.0,"Lamp(13, 10)","(13, 10)",0,0,0.0,"Lamp(11, 12)","(11, 12)",0,0,0.0,"Lamp(13, 12)","(13, 12)",0,0,0.0
